2.316	1.036	1.085	3.989	1.630	1.280	2.729	2.606	2.091	2.422
1.416	2.865	1.257	1.348	2.300	1.434	1.204	2.406	2.209	1.129
3.650	2.583	2.336	1.434	2.840	1.507	1.048	3.594	3.341	3.967
3.319	2.871	3.631	1.420	3.072	1.287	1.118	3.682	3.425	2.931
3.002	3.743	2.619	2.662	1.084	2.437	3.141	3.779	1.454	1.390
3.304	1.998	2.662	2.473	3.307	2.799	2.787	1.698	1.536	1.988
2.534	2.264	2.611	1.032	2.252	3.214	2.476	3.517	3.516	1.896
3.505	2.789	2.654	1.180	2.428	1.619	3.377	1.148	2.569	3.461
1.381	3.693	3.669	2.635	2.585	2.243	1.313	1.514	2.375	1.559
1.717	2.543	1.003	2.303	1.406	1.666	2.040	2.840	2.033	1.490
